Id,SalePrice
1461,123505.9
1462,148504.16
1463,164584.73
1464,172457.14
1465,218810.23
1466,183918.67
1467,162614.72
1468,163633.3
1469,182970.19
1470,124224.69
1471,194549.25
1472,100435.34
1473,97648.85
1474,160000.56
1475,154484.66
1476,374013.3
1477,260155.0
1478,335061.2
1479,278037.9
1480,511909.06
1481,339043.28
1482,222045.89
1483,179137.78
1484,176833.75
1485,165608.25
1486,200518.73
1487,375054.8
1488,261242.84
1489,183641.45
1490,185995.83
1491,195734.88
1492,103626.53
1493,178592.05
1494,307094.06
1495,298825.62
1496,211960.45
1497,212442.19
1498,155128.88
1499,155128.88
1500,146797.83
1501,170804.3
1502,153318.6
1503,287056.94
1504,226963.36
1505,214276.45
1506,196207.33
1507,227669.2
1508,206152.42
1509,170843.5
1510,154965.19
1511,156932.8
1512,178098.9
1513,171184.78
1514,132911.62
1515,197546.28
1516,168867.2
1517,138674.38
1518,143123.75
1519,209168.45
1520,138517.27
1521,142521.78
1522,178592.05
1523,118086.88
1524,123469.89
1525,124399.086
1526,129930.695
1527,112714.516
1528,131246.66
1529,147446.1
1530,162515.6
1531,125120.516
1532,104281.09
1533,148037.52
1534,127270.695
1535,137346.66
1536,126590.66
1537,80775.03
1538,195669.45
1539,227715.6
1540,85252.01
1541,139336.11
1542,133996.19
1543,207812.3
1544,68226.71
1545,111831.164
1546,123629.875
1547,124442.086
1548,129390.625
1549,105386.34
1550,141559.95
1551,129358.29
1552,148610.39
1553,143158.34
1554,121654.36
1555,168137.36
1556,115090.25
1557,126084.555
1558,98720.31
1559,123661.29
1560,135787.89
1561,122843.86
1562,120964.31
1563,120964.31
1564,164249.11
1565,150305.19
1566,207008.81
1567,87149.39
1568,206794.66
1569,120599.39
1570,121135.9
1571,127283.57
1572,138557.56
1573,220438.11
1574,145446.61
1575,207008.81
1576,195694.05
1577,182849.64
1578,150485.48
1579,138810.05
1580,193170.52
1581,138051.25
1582,126817.83
1583,340716.34
1584,245962.06
1585,142012.03
1586,63521.49
1587,104921.984
1588,145477.97
1589,102439.805
1590,132601.27
1591,103934.36
1592,123908.15
1593,134507.67
1594,148201.72
1595,137324.5
1596,266928.53
1597,164697.39
1598,187533.69
1599,199397.28
1600,211914.47
1601,80986.31
1602,110378.78
1603,108980.055
1604,262248.56
1605,253911.52
1606,163286.58
1607,182808.72
1608,198449.4
1609,182849.64
1610,153618.4
1611,151943.33
1612,168859.25
1613,164500.97
1614,116510.13
1615,80873.84
1616,80873.84
1617,89760.35
1618,120964.31
1619,134908.38
1620,193456.4
1621,139302.28
1622,136556.22
1623,270778.38
1624,195192.31
1625,128130.85
1626,174541.17
1627,176521.73
1628,282408.53
1629,183068.81
1630,334740.28
1631,228616.95
1632,259284.1
1633,165608.25
1634,179473.78
1635,181184.58
1636,162614.72
1637,193188.28
1638,220865.36
1639,189221.66
1640,256569.08
1641,178794.95
1642,211481.34
1643,230160.48
1644,222197.53
1645,180470.72
1646,156384.95
1647,176238.14
1648,154707.55
1649,135758.22
1650,116034.016
1651,116034.016
1652,100435.34
1653,100435.34
1654,170440.12
1655,169052.67
1656,164472.31
1657,170440.12
1658,167017.2
1659,151947.23
1660,140293.61
1661,461715.12
1662,378681.78
1663,385509.16
1664,453613.97
1665,355422.66
1666,285607.12
1667,357456.12
1668,355422.66
1669,313410.38
1670,326081.4
1671,234947.44
1672,445695.22
1673,309578.4
1674,261242.84
1675,179137.78
1676,177698.03
1677,192176.94
1678,429912.62
1679,357241.56
1680,328370.97
1681,281184.78
1682,305670.28
1683,192852.44
1684,176487.83
1685,173822.36
1686,182597.78
1687,165608.25
1688,192676.0
1689,192545.77
1690,183141.58
1691,168181.36
1692,285317.28
1693,165608.25
1694,177701.58
1695,171149.62
1696,270127.16
1697,166365.7
1698,363209.3
1699,348698.66
1700,239964.88
1701,272235.56
1702,278582.9
1703,267912.53
1704,276815.22
1705,246372.05
1706,418232.62
1707,202720.8
1708,192852.44
1709,303750.4
1710,223227.25
1711,241813.81
1712,260582.0
1713,242138.47
1714,221309.22
1715,199343.89
1716,177793.28
1717,171777.39
1718,141338.08
1719,205309.8
1720,260155.0
1721,171777.39
1722,130738.75
1723,145666.84
1724,208618.4
1725,244597.38
1726,193763.64
